Comp_int_age,Focal_int_age,mean_maha_dist,n,prop_sig,Comp,Focal
0.166666667,0.166666667,5.005897811,11,0.727272727,CACL,CACL
0.25,0.166666667,1.655460517,11,0.909090909,CACL,CACL
0.333333333,0.166666667,1.687543508,11,0.909090909,CACL,CACL
0.416666667,0.166666667,1.41831926,11,1,CACL,CACL
0.5,0.166666667,1.338371722,11,1,CACL,CACL
0.583333333,0.166666667,1.325038562,11,1,CACL,CACL
0.666666667,0.166666667,1.252436406,11,0.909090909,CACL,CACL
0.75,0.166666667,1.227706484,11,0.909090909,CACL,CACL
0.833333333,0.166666667,1.198836793,11,0.909090909,CACL,CACL
0.916666667,0.166666667,1.16895207,11,1,CACL,CACL
1,0.166666667,1.147678673,11,1,CACL,CACL
1.083333333,0.166666667,1.12508786,11,1,CACL,CACL
1.166666667,0.166666667,1.107839117,11,1,CACL,CACL
1.25,0.166666667,1.064755729,11,1,CACL,CACL
1.333333333,0.166666667,0.966640661,11,1,CACL,CACL
1.416666667,0.166666667,0.884732583,11,1,CACL,CACL
1.5,0.166666667,0.865578928,11,1,CACL,CACL
1.583333333,0.166666667,1.450784495,11,0.818181818,CACL,CACL
1.666666667,0.166666667,1.914644746,11,0.727272727,CACL,CACL
1.75,0.166666667,2.261647971,11,0.818181818,CACL,CACL
1.833333333,0.166666667,2.393108933,11,0.818181818,CACL,CACL
1.916666667,0.166666667,2.244680012,11,0.818181818,CACL,CACL
2,0.166666667,2.303394644,11,0.818181818,CACL,CACL
2.083333333,0.166666667,2.315853201,11,0.818181818,CACL,CACL
2.166666667,0.166666667,2.300788565,11,0.818181818,CACL,CACL
2.25,0.166666667,2.273709857,11,0.818181818,CACL,CACL
2.333333333,0.166666667,3.064414656,11,0.727272727,CACL,CACL
2.416666667,0.166666667,4.302942093,11,0.727272727,CACL,CACL
2.5,0.166666667,5.259356752,11,0.727272727,CACL,CACL
2.583333333,0.166666667,6.543874579,11,0.636363636,CACL,CACL
2.666666667,0.166666667,8.206395186,11,0.636363636,CACL,CACL
2.75,0.166666667,7.483796745,11,0.636363636,CACL,CACL
2.833333333,0.166666667,8.54476455,11,0.636363636,CACL,CACL
0.166666667,0.25,4.379026514,23,0.695652174,CACL,CACL
0.25,0.25,2.187548705,23,0.913043478,CACL,CACL
